id,function,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,RHS
11,const.,0.867687305,0.719246416,0.856966265,0.307155018,0.10429036,0.686329885,0.705739038,0.647730992,0.871332266,0.119472501,0.780235882,0.837725638,0.866192643,0.407235504,0.787718773,0.549983671,0.998840266,0.388444882,0.086861659,0.109927428,0.011920032,0.550321971,0.542613468,0.347672444,0.682782473,0.069817929,0.556646505,0.999709564,0.752019661,0.190578113,0.12308751,0.860805741,0.073432056,0.319214946,0.015749728,0.460994111,0.120944834,0.382558419,0.944192467,0.225038119,0.942735528,0.110296118,0.461750408,0.829143511,0.801859591,0.509006189,0.368487252,0.349714608,0.490448174,0.898131319,0.336467973,0.710153384,0.851953087,0.961416353,0.256779419,0.458867868,0.776565809,0.917044096,0.820156025,0.960173005,0.952107345,0.147529175,0.083301075,0.883493512,0.313723799,0.042642807,0.972440405,0.184676739,0.083770242,0.764511264,0.852165868,0.530026483,0.011405798,0.628343496,0.55205133,0.218784002,0.053782482,0.561599474,0.350871814,0.162430129,0.753117997,0.803470682,0.372746328,0.129356895,0.622299601,0.200881846,0.059575506,0.483708116,0.276154356,0.033888235,0.00351074,0.08920045,0.703655031,0.064545234,0.165398903,0.889357721,0.76402463,0.735291188,0.797981902,0.725340474,248.8176464
12,const.,0.947297567,0.159474257,0.178850008,0.659960346,0.845626698,0.857904938,0.018431835,0.487841137,0.683661304,0.459226074,0.345615357,0.599559775,0.61207097,0.96187498,0.063899061,0.257555257,0.308704464,0.42892284,0.354455174,0.013111105,0.072390181,0.833244273,0.833572895,0.488347043,0.554897857,0.218390857,0.036448351,0.802883638,0.389639707,0.815872739,0.126784562,0.392690569,0.569529604,0.995710482,0.665355277,0.422852403,0.518098139,0.549183969,0.511617787,0.451969175,0.048750684,0.697518795,0.26523482,0.007241303,0.061261168,0.980397909,0.638553232,0.288525374,0.586459231,0.465960221,0.824561878,0.545259465,0.105193023,0.437318274,0.767598722,0.85903247,0.362283965,0.263944722,0.720003178,0.012766718,0.28724925,0.404931071,0.698647301,0.26591033,0.369354618,0.172574093,0.714016808,0.462949658,0.244964863,0.188129959,0.8159204,0.28312546,0.087290158,0.469840995,0.194298793,0.623805412,0.653884786,0.929187422,0.604327647,0.431125138,0.180684302,0.334739621,0.117815538,0.178049279,0.407268,0.455511494,0.756680434,0.839579072,0.20812293,0.295350744,0.48381313,0.49811958,0.484610429,0.559953693,0.797695956,0.60515081,0.657693776,0.911879424,0.755642866,0.518127035,236.8970504
13,const.,0.002512941,0.320798611,0.117939381,0.118784476,0.139538449,0.78467742,0.435217504,0.147983304,0.439048149,0.913753024,0.382867575,0.652711179,0.379552429,0.683822474,0.582901306,0.22749969,0.591519717,0.410642434,0.953933277,0.573892139,0.080924041,0.718646777,0.868060369,0.2761199,0.286744661,0.00938197,0.878114726,0.031461754,0.787116749,0.709513372,0.452566073,0.338167133,0.028479238,0.927453073,0.138113977,0.811351415,0.000493388,0.101434999,0.702641673,0.33277466,0.788100835,0.491628103,0.910308366,0.602644145,0.936772031,0.720843697,0.715352,0.58029142,0.138414747,0.18609631,0.548270414,0.814503933,0.530541877,0.141647569,0.331116583,0.944615672,0.852686113,0.64097363,0.176084359,0.023475678,0.674321391,0.631663801,0.393655187,0.241959112,0.384366327,0.340875752,0.553444695,0.883233705,0.360400533,0.848012004,0.752949624,0.924137781,0.548545442,0.765018892,0.055011874,0.774770465,0.561052995,0.897010543,0.706368766,0.003529418,0.96280126,0.049634255,0.105664009,0.069910824,0.202226192,0.384650297,0.435093105,0.018585142,0.38252821,0.208448827,0.686360215,0.043636399,0.388782506,0.429328142,0.312158737,0.957147966,0.328404873,0.071915482,0.139237399,0.685451174,232.8790811
14,const.,0.826209621,0.059259873,0.50310305,0.887785492,0.386314329,0.274551897,0.856989819,0.20122301,0.022694023,0.78778512,0.629242548,0.616344179,0.763958226,0.898662541,0.346065172,0.250002969,0.536003726,0.250688476,0.772326863,0.294551966,0.725077359,0.642260486,0.338178927,0.690537961,0.751289875,0.113132333,0.672848792,0.348337013,0.752801371,0.228589715,0.226526995,0.118488898,0.726615198,0.025016502,0.544176976,0.11647809,0.686238606,0.258582291,0.793059776,0.713433964,0.213090456,0.485124034,0.693903896,0.263049768,0.219879551,0.632878996,0.128814733,0.610166016,0.252796263,0.496475664,0.175401698,0.738028146,0.149324632,0.587339198,0.784821626,0.698354709,0.563908412,0.367978529,0.122121399,0.956478641,0.918018237,0.459384686,0.206808979,0.321505165,0.777252928,0.221412126,0.04777574,0.377946956,0.678969109,0.73627056,0.421855248,0.186161587,0.589515472,0.761430942,0.766999993,0.859932329,0.082772579,0.335787033,0.892563482,0.111930166,0.631894074,0.511001305,0.396702056,0.650076961,0.582112703,0.404867745,0.036008698,0.944310973,0.333602532,0.023867731,0.944292838,0.532437559,0.225188775,0.715821577,0.71152196,0.139986311,0.651042196,0.70660017,0.601919684,0.410632805,243.4177618
15,const.,0.4215808,0.895530605,0.381255288,0.276808745,0.494208796,0.887598262,0.109530473,0.793512774,0.910851952,0.330998401,0.866471359,0.878542584,0.35548151,0.075444553,0.379347737,0.188961784,0.182128972,0.487781969,0.312472818,0.768502883,0.485472157,0.136716551,0.838091198,0.328236895,0.311545955,0.340332561,0.065190982,0.879825035,0.4394084,0.784222981,0.469400454,0.374917433,0.73175737,0.146387267,0.735760307,0.155375978,0.38963167,0.675240844,0.9108093,0.459502749,0.26197245,0.593041008,0.675155285,0.47342435,0.952723702,0.486725826,0.79817632,0.011830208,0.057972835,0.339821642,0.228579103,0.786693249,0.492394991,0.611997269,0.560611565,0.972617844,0.254476411,0.343823599,0.190787465,0.817510441,0.578604209,0.247110027,0.132694781,0.407126421,0.684687859,0.94365499,0.820939276,0.865914694,0.824194364,0.387933497,0.505786663,0.243938795,0.278168336,0.627628627,0.892675288,0.128870058,0.161561522,0.891044014,0.602978429,0.90492341,0.003831646,0.00935123,0.117356798,0.03981165,0.963427011,0.67665175,0.208485932,0.842455968,0.316443458,0.145081381,0.377976088,0.179469,0.057304768,0.927666911,0.268287512,0.322181,0.098113134,0.681768975,0.967133893,0.860913546,243.7966041
16,const.,0.956159014,0.930899035,0.910158598,0.774229795,0.808205136,0.351561866,0.67014804,0.436126245,0.536423922,0.064477869,0.553328444,0.518930407,0.551798306,0.641339893,0.182860529,0.902894324,0.882986299,0.447302289,0.9180194,0.450464609,0.648478637,0.90705052,0.502829126,0.207065485,0.567603041,0.728445047,0.857997032,0.219375002,0.465967214,0.745501848,0.929148769,0.25529562,0.856698371,0.417817013,0.535691967,0.57085018,0.103103158,0.812552902,0.356649445,0.890790963,0.596652155,0.766623251,0.879766779,0.256373411,0.559908429,0.469865257,0.082750801,0.638953102,0.383773009,0.74762698,0.962397794,0.535829105,0.011852774,0.386033133,0.422141503,0.845546766,0.881359263,0.865556741,0.717838997,0.106862184,0.694752898,0.120874562,0.848729372,0.168467354,0.849959079,0.110251982,0.068513921,0.714048207,0.183607372,0.846280964,0.079141553,0.873982005,0.691376323,0.40418639,0.69471027,0.435352462,0.058637959,0.096121149,0.878970431,0.393342483,0.163770297,0.641142603,0.38202875,0.59456381,0.031102931,0.061251174,0.601542668,0.572486221,0.430535579,0.96348089,0.333451794,0.602572138,0.354693732,0.492560649,0.323983408,0.467380208,0.598664859,0.592703092,0.935402223,0.437090654,269.883256
17,const.,0.028296105,0.442552784,0.087360142,0.84947464,0.388608156,0.888368118,0.737598892,0.761139769,0.278251008,0.520909019,0.527432089,0.406455496,0.733774094,0.764190452,0.680184099,0.106894581,0.082552905,0.766232612,0.335337982,0.084730632,0.567776924,0.786177708,0.258816409,0.560336172,0.232078967,0.996253486,0.893956881,0.726717566,0.342941348,0.280074074,0.041214779,0.006534334,0.857986126,0.72904409,0.536322322,0.832286823,0.485243468,0.147342632,0.467505681,0.353670963,0.352932876,0.948285898,0.480659124,0.062059591,0.464659376,0.855292653,0.866316485,0.253365165,0.695438998,0.25300446,0.960585077,0.710483585,0.246402579,0.329705836,0.454153315,0.599532929,0.182608004,0.230430629,0.489293,0.781708228,0.137041862,0.88216498,0.509917726,0.815782024,0.413038066,0.407287816,0.375000613,0.616693809,0.635311906,0.310642957,0.301200248,0.080491316,0.505072294,0.136597966,0.997370734,0.758193609,0.337883497,0.836799685,0.643651076,0.530364591,0.591371506,0.586942429,0.535111563,0.138807045,0.063952366,0.328399476,0.046450642,0.232673411,0.754412633,0.99970314,0.605198932,0.924105202,0.340750703,0.736214182,0.991889017,0.008926316,0.768138554,0.447735566,0.310286079,0.902675169,251.6689642
18,const.,0.892420153,0.640725253,0.807062939,0.399632521,0.61988037,0.547344262,0.066920684,0.153539886,0.594525918,0.338757725,0.651851644,0.312715087,0.520769965,0.825804657,0.437752756,0.980903592,0.509314789,0.488882116,0.935977646,0.026145197,0.616598174,0.096504055,0.627278534,0.894654044,0.351738289,0.530154669,0.88450973,0.962480571,0.845619046,0.804247333,0.980642831,0.612334199,0.301243861,0.989553236,0.253667202,0.722095808,0.656851725,0.432415847,0.609361012,0.029643761,0.997121905,0.896207794,0.382591376,0.577593288,0.651768196,0.371072769,0.772561771,0.415610832,0.362932688,0.297658961,0.302070218,0.751728672,0.156727285,0.006434084,0.311919797,0.132208777,0.598928446,0.26727229,0.094724267,0.323795202,0.156639273,0.700123321,0.230752423,0.695504457,0.285419251,0.206079326,0.163831595,0.915161442,0.276535894,0.487095755,0.485137377,0.10224632,0.611598705,0.247949098,0.340351718,0.741060606,0.379094277,0.798576483,0.69530469,0.299927427,0.156530893,0.894327955,0.223171657,0.592570176,0.947705521,0.083883637,0.80287041,0.840982028,0.164524652,0.196724922,0.873148027,0.13588003,0.194242829,0.087165604,0.688448331,0.828073299,0.523676463,0.792226473,0.317285727,0.488175756,251.3672677
19,const.,0.637324106,0.602432328,0.746031724,0.491278721,0.207847084,0.341958803,0.241795047,0.270399442,0.03975838,0.055701749,0.454450682,0.128585129,0.642416277,0.226862823,0.710576355,0.641245699,0.24770434,0.609008742,0.556392433,0.407993969,0.733450345,0.271988153,0.69044761,0.777678578,0.733607862,0.87218385,0.399285586,0.1590758,0.468272071,0.250330395,0.491479092,0.921622796,0.959699121,0.157645827,0.039293507,0.139233609,0.006965481,0.460407348,0.678021473,0.013687647,0.639488151,0.129479711,0.290073097,0.500835761,0.370004219,0.227424318,0.537594344,0.821347606,0.562718803,0.637592671,0.977478171,0.947988769,0.432607846,0.733983268,0.562479858,0.248414001,0.314076473,0.896500369,0.415914097,0.470041676,0.932078979,0.13614265,0.232015178,0.857427545,0.154212224,0.636625861,0.003842343,0.270385668,0.109431047,0.369482018,0.851216599,0.116664757,0.612908763,0.83849608,0.782432425,0.627927794,0.979014823,0.696007629,0.358347017,0.081178304,0.183312443,0.132647545,0.230374196,0.30943486,0.995319147,0.653097275,0.788745046,0.631244606,0.286578668,0.083064274,0.180454987,0.501745812,0.638688693,0.708395538,0.111300773,0.817198957,0.001738685,0.736093684,0.626037652,0.03921516,232.5035445
20,const.,0.552381214,0.052954873,0.864135106,0.491490543,0.559089135,0.656584571,0.101156091,0.315853105,0.933714288,0.973422876,0.621755915,0.771787039,0.8780338,0.180108425,0.429771404,0.22309189,0.28963442,0.158558212,0.656671425,0.429522478,0.983829677,0.361584863,0.440183171,0.376241894,0.644182881,0.242094317,0.848410472,0.423988561,0.333654716,0.779943433,0.779326484,0.176711102,0.548694175,0.731500259,0.257116331,0.510758531,0.864854971,0.201630664,0.101080065,0.847456255,0.564339566,0.392598703,0.516315074,0.205975552,0.061389675,0.599129723,0.111277099,0.364183452,0.630010413,0.457087515,0.751855834,0.110391039,0.627437083,0.356541327,0.060043911,0.464533256,0.644819584,0.851119396,0.122853157,0.731280676,0.196279697,0.172811812,0.081659238,0.958133437,0.124668477,0.761073229,0.034847184,0.45547743,0.149268153,0.150513919,0.979538287,0.399142562,0.124702626,0.148310922,0.888200418,0.132174412,0.597647317,0.925183029,0.856225455,0.994551373,0.267973696,0.126199526,0.407367921,0.067880179,0.576851171,0.125342869,0.78786667,0.790455822,0.250775796,0.400395577,0.106219457,0.058531354,0.813394714,0.102402557,0.003143123,0.01762183,0.784001235,0.116948642,0.15333072,0.939122619,226.2118806
21,const.,0.455111241,0.768270037,0.725415862,0.332967529,0.098669066,0.663368301,0.595136309,0.133934379,0.887365195,0.466034511,0.471262888,0.44846368,0.909410134,0.77345545,0.670183416,0.287077538,0.300681955,0.838909449,0.663089802,0.719157659,0.554651265,0.05634399,0.252165734,0.614190351,0.826894036,0.364593685,0.394056797,0.214403793,0.382828423,0.465169731,0.6485008,0.420247737,0.30422375,0.777336139,0.934427795,0.754397249,0.539995096,0.895714109,0.120305329,0.762614604,0.182080488,0.048802443,0.622242162,0.018396461,0.455623859,0.380405651,0.905619501,0.63447746,0.19343304,0.726727256,0.521584284,0.555386997,0.158166656,0.192856515,0.046118091,0.188576034,0.639592774,0.030983956,0.778154991,0.495688352,0.097015432,0.862130835,0.469802631,0.503613633,0.360392252,0.76257851,0.528825075,0.853761376,0.13927392,0.933854193,0.711108422,0.208454977,0.385647892,0.50403565,0.07336139,0.625372892,0.119093177,0.314718372,0.980121751,0.312215238,0.700935041,0.116310369,0.354853744,0.787938896,0.390095525,0.968314163,0.697640157,0.833954935,0.911779146,0.195406507,0.549865164,0.127952856,0.648469275,0.568015816,0.767104368,0.595395817,0.284390789,0.254898007,0.904085238,0.204144949,249.3643508
